datetime,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10
2016-01-04,1077.0,,,,,,,,,
2016-01-05,1065.0,1065.0,,,,,,,,
2016-01-06,526.0,526.0,526.0,526.0,,,,,,
2016-01-07,181.0,180.0,181.0,180.0,180.0,181.0,,,,
2016-01-08,213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0
2016-01-11,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0
2016-01-12,211.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0
2016-01-13,207.0,207.0,207.0,206.0,207.0,207.0,206.0,207.0,207.0,207.0
2016-01-14,212.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,212.0
2016-01-15,217.0,216.0,216.0,216.0,217.0,216.0,216.0,216.0,216.0,217.0
2016-01-18,215.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,215.0
2016-01-19,211.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,211.0
2016-01-20,219.0,218.0,218.0,218.0,219.0,218.0,218.0,218.0,218.0,219.0
2016-01-21,215.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,215.0
2016-01-22,218.0,217.0,217.0,218.0,217.0,217.0,218.0,217.0,217.0,218.0
2016-01-25,217.0,216.0,216.0,217.0,216.0,216.0,217.0,216.0,216.0,217.0
2016-01-26,133.0,132.0,132.0,132.0,133.0,132.0,132.0,132.0,132.0,133.0
2016-01-27,216.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,216.0
2016-01-28,203.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0
2016-01-29,213.0,212.0,212.0,212.0,213.0,212.0,212.0,212.0,212.0,213.0
2016-02-01,218.0,218.0,218.0,217.0,218.0,218.0,217.0,218.0,218.0,218.0
2016-02-02,213.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0
2016-02-03,219.0,219.0,218.0,219.0,218.0,219.0,218.0,219.0,218.0,219.0
2016-02-04,213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0
2016-02-05,220.0,219.0,219.0,219.0,220.0,219.0,219.0,219.0,219.0,220.0
2016-02-15,217.0,216.0,217.0,216.0,217.0,216.0,216.0,217.0,216.0,217.0
2016-02-16,208.0,207.0,208.0,207.0,208.0,207.0,207.0,208.0,207.0,208.0
2016-02-17,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
2016-02-18,218.0,217.0,218.0,217.0,218.0,217.0,217.0,218.0,217.0,218.0
2016-02-19,220.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0
2016-02-22,215.0,214.0,214.0,215.0,214.0,214.0,215.0,214.0,214.0,215.0
2016-02-23,217.0,216.0,217.0,216.0,217.0,216.0,216.0,217.0,216.0,217.0
2016-02-24,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
2016-02-25,99.0,98.0,99.0,98.0,99.0,98.0,98.0,99.0,98.0,99.0
2016-02-26,215.0,214.0,214.0,214.0,215.0,214.0,214.0,214.0,214.0,215.0
2016-02-29,172.0,172.0,172.0,172.0,172.0,171.0,172.0,172.0,172.0,172.0
2016-03-01,215.0,214.0,214.0,215.0,214.0,214.0,215.0,214.0,214.0,215.0
2016-03-02,204.0,204.0,204.0,204.0,204.0,203.0,204.0,204.0,204.0,204.0
2016-03-03,216.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,216.0
2016-03-04,213.0,213.0,213.0,213.0,213.0,212.0,213.0,213.0,213.0,213.0
2016-03-07,214.0,213.0,213.0,214.0,213.0,213.0,214.0,213.0,213.0,214.0
2016-03-08,216.0,215.0,215.0,216.0,215.0,215.0,216.0,215.0,215.0,216.0
2016-03-09,219.0,218.0,218.0,219.0,218.0,218.0,219.0,218.0,218.0,219.0
2016-03-10,221.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,221.0
2016-03-11,220.0,220.0,220.0,220.0,220.0,219.0,220.0,220.0,220.0,220.0
2016-03-14,214.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,214.0
2016-03-15,220.0,220.0,220.0,219.0,220.0,220.0,219.0,220.0,220.0,220.0
2016-03-16,221.0,220.0,220.0,220.0,221.0,220.0,220.0,220.0,220.0,221.0
2016-03-17,215.0,214.0,214.0,214.0,215.0,214.0,214.0,214.0,214.0,215.0
2016-03-18,210.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0
2016-03-21,264.0,263.0,264.0,263.0,263.0,264.0,263.0,264.0,,
2016-03-22,219.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,219.0
2016-03-23,217.0,217.0,217.0,217.0,217.0,216.0,217.0,217.0,217.0,217.0
2016-03-24,218.0,218.0,217.0,218.0,217.0,218.0,217.0,218.0,217.0,218.0
2016-03-25,218.0,218.0,218.0,217.0,218.0,218.0,217.0,218.0,218.0,218.0
2016-03-28,218.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0
2016-03-29,219.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0
2016-03-30,211.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0
2016-03-31,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0
2016-04-01,218.0,218.0,217.0,218.0,218.0,217.0,218.0,217.0,218.0,218.0
2016-04-05,211.0,211.0,210.0,211.0,211.0,210.0,211.0,210.0,211.0,211.0
2016-04-06,215.0,214.0,214.0,214.0,215.0,214.0,214.0,214.0,214.0,215.0
